Depth_m,.estimate
0,0.23694980906112897
0.5,0.08581579487958217
1,0.06470423882161748
1.5,0.060548440323858435
2,0.047150493932134836
2.5,0.04947795068722666
3,0.06627338050979645
3.5,0.06374454460645634
4,0.06616690801210867
4.5,0.08514155281883515
5,0.09419590232602226
5.5,0.08148306534310458
6,0.11796792513948504
6.5,0.1333024039711428
7,0.08327728903390019
7.5,0.05984339743484111
8,0.05846612886545037
8.5,0.083179024450024
9,0.07341524053298198
9.5,0.07636292111539227
10,0.09424600713700285
